layer,metric,description,y-axis label,type,unit,aggregation,derivative
STORAGE,admission.admitted.kv.locking-normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.kv.normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-kv-response,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-kv-response.locking-normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-kv-response.normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-leaf-start,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-leaf-start.locking-normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-leaf-start.normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-root-start,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-root-start.locking-normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-root-start.normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-sql-response,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-sql-response.locking-normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.sql-sql-response.normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.elastic_cpu.acquired_nanos,Total CPU nanoseconds acquired by elastic work,Nanoseconds,COUNTER,NANOSECONDS,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.elastic_cpu.available_nanos,Instantaneous available CPU nanoseconds per second ignoring utilization limit,Nanoseconds,GAUGE,NANOSECONDS,AVG,NONE
STORAGE,admission.elastic_cpu.max_available_nanos,Maximum available CPU nanoseconds per second ignoring utilization limit,Nanoseconds,COUNTER,NANOSECONDS,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.elastic_cpu.nanos_exhausted_duration,"Total duration when elastic CPU nanoseconds were exhausted, in micros",Microseconds,GAUGE,COUNT,AVG,NONE
STORAGE,admission.elastic_cpu.over_limit_durations,Measurement of how much over the prescribed limit elastic requests ran (not recorded if requests don't run over),Nanoseconds,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.elastic_cpu.pre_work_nanos,"Total CPU nanoseconds spent doing pre-work, before doing elastic work",Nanoseconds,COUNTER,NANOSECONDS,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.elastic_cpu.returned_nanos,Total CPU nanoseconds returned by elastic work,Nanoseconds,COUNTER,NANOSECONDS,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.elastic_cpu.utilization,CPU utilization by elastic work,CPU Time,GAUGE,PERCENT,AVG,NONE
STORAGE,admission.elastic_cpu.utilization_limit,Utilization limit set for the elastic CPU work,CPU Time,GAUGE,PERCENT,AVG,NONE
STORAGE,admission.errored.elastic-cpu,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.elastic-cpu.bulk-normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.elastic-cpu.normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.elastic-stores,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.elastic-stores.bulk-low-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.elastic-stores.bulk-normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.kv,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.kv-stores,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.kv-stores.high-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.kv-stores.locking-normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.kv-stores.normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.kv-stores.user-high-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.kv.high-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.kv.locking-normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.kv.normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-kv-response,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-kv-response.locking-normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-kv-response.normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-leaf-start,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-leaf-start.locking-normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-leaf-start.normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-root-start,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-root-start.locking-normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-root-start.normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-sql-response,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-sql-response.locking-normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.errored.sql-sql-response.normal-pri,Number of requests not admitted due to error,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.cpu_load_long_period_duration.kv,"Total duration when CPULoad was being called with a long period, in micros",Microseconds,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.cpu_load_short_period_duration.kv,"Total duration when CPULoad was being called with a short period, in micros",Microseconds,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.elastic_io_tokens_available.kv,Number of tokens available,Tokens,GAUGE,COUNT,AVG,NONE
STORAGE,admission.granter.elastic_io_tokens_exhausted_duration.kv,"Total duration when Elastic IO tokens were exhausted, in micros",Microseconds,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.io_tokens_available.kv,Number of tokens available,Tokens,GAUGE,COUNT,AVG,NONE
STORAGE,admission.granter.io_tokens_bypassed.kv,"Total number of tokens taken by work bypassing admission control (for example, follower writes without flow control)",Tokens,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.io_tokens_exhausted_duration.kv,"Total duration when IO tokens were exhausted, in micros",Microseconds,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.io_tokens_returned.kv,Total number of tokens returned,Tokens,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.io_tokens_taken.kv,Total number of tokens taken,Tokens,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.slot_adjuster_decrements.kv,Number of decrements of the total KV slots,Slots,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.slot_adjuster_increments.kv,Number of increments of the total KV slots,Slots,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.slots_exhausted_duration.kv,"Total duration when KV slots were exhausted, in micros",Microseconds,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.granter.total_slots.kv,Total slots for kv work,Slots,GAUGE,COUNT,AVG,NONE
STORAGE,admission.granter.used_slots.kv,Used slots,Slots,GAUGE,COUNT,AVG,NONE
STORAGE,admission.granter.used_slots.sql-leaf-start,Used slots,Slots,GAUGE,COUNT,AVG,NONE
STORAGE,admission.granter.used_slots.sql-root-start,Used slots,Slots,GAUGE,COUNT,AVG,NONE
STORAGE,admission.io.overload,1-normalized float indicating whether IO admission control considers the store as overloaded with respect to compaction out of L0 (considers sub-level and file counts).,Threshold,GAUGE,PERCENT,AVG,NONE
STORAGE,admission.l0_compacted_bytes.kv,Total bytes compacted out of L0 (used to generate IO tokens),Tokens,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.l0_tokens_produced.kv,Total bytes produced for L0 writes,Tokens,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.raft.paused_replicas,"Number of followers (i.e. Replicas) to which replication is currently paused to help them recover from I/O overload.

Such Replicas will be ignored for the purposes of proposal quota, and will not
receive replication traffic. They are essentially treated as offline for the
purpose of replication. This serves as a crude form of admission control.

The count is emitted by the leaseholder of each range.",Followers,GAUGE,COUNT,AVG,NONE
STORAGE,admission.raft.paused_replicas_dropped_msgs,"Number of messages dropped instead of being sent to paused replicas.

The messages are dropped to help these replicas to recover from I/O overload.",Messages,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.elastic-cpu,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.elastic-cpu.bulk-normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.elastic-cpu.normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.elastic-stores,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.elastic-stores.bulk-low-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.elastic-stores.bulk-normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.kv,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.kv-stores,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.kv-stores.high-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.kv-stores.locking-normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.kv-stores.normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.kv-stores.user-high-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.kv.high-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.kv.locking-normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.kv.normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-kv-response,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-kv-response.locking-normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-kv-response.normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-leaf-start,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-leaf-start.locking-normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-leaf-start.normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-root-start,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-root-start.locking-normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-root-start.normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-sql-response,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-sql-response.locking-normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.requested.sql-sql-response.normal-pri,Number of requests,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.scheduler_latency_listener.p99_nanos,The scheduling latency at p99 as observed by the scheduler latency listener,Nanoseconds,GAUGE,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.elastic-cpu,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.elastic-cpu.bulk-normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.elastic-cpu.normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.elastic-stores,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.elastic-stores.bulk-low-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.elastic-stores.bulk-normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.kv,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.kv-stores,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.kv-stores.high-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.kv-stores.locking-normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.kv-stores.normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.kv-stores.user-high-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.kv.high-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.kv.locking-normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.kv.normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.snapshot_ingest,Wait time for snapshot ingest requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-kv-response,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-kv-response.locking-normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-kv-response.normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-leaf-start,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-leaf-start.locking-normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-leaf-start.normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-root-start,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-root-start.locking-normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-root-start.normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-sql-response,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-sql-response.locking-normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_durations.sql-sql-response.normal-pri,Wait time durations for requests that waited,Wait time Duration,HISTOGRAM,NANOSECONDS,AVG,NONE
STORAGE,admission.wait_queue_length.elastic-cpu,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.elastic-cpu.bulk-normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.elastic-cpu.normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.elastic-stores,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.elastic-stores.bulk-low-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.elastic-stores.bulk-normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.kv,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.kv-stores,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.kv-stores.high-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.kv-stores.locking-normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.kv-stores.normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.kv-stores.user-high-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.kv.high-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.kv.locking-normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.kv.normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-kv-response,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-kv-response.locking-normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-kv-response.normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-leaf-start,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-leaf-start.locking-normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-leaf-start.normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-root-start,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-root-start.locking-normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-root-start.normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-sql-response,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-sql-response.locking-normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,admission.wait_queue_length.sql-sql-response.normal-pri,Length of wait queue,Requests,GAUGE,COUNT,AVG,NONE
STORAGE,batch_requests.bytes,Total byte count of batch requests processed,Bytes,COUNTER,BYTES,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,batch_requests.cross_region.bytes,"Total byte count of batch requests processed cross region when region
		tiers are configured",Bytes,COUNTER,BYTES,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,batch_requests.cross_zone.bytes,"Total byte count of batch requests processed cross zone within
		the same region when region and zone tiers are configured. However, if the
		region tiers are not configured, this count may also include batch data sent
		between different regions. Ensuring consistent configuration of region and
		zone tiers across nodes helps to accurately monitor the data transmitted.",Bytes,COUNTER,BYTES,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,batch_responses.bytes,Total byte count of batch responses received,Bytes,COUNTER,BYTES,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,batch_responses.cross_region.bytes,"Total byte count of batch responses received cross region when region
		tiers are configured",Bytes,COUNTER,BYTES,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,batch_responses.cross_zone.bytes,"Total byte count of batch responses received cross zone within the
		same region when region and zone tiers are configured. However, if the
		region tiers are not configured, this count may also include batch data
		received between different regions. Ensuring consistent configuration of
		region and zone tiers across nodes helps to accurately monitor the data
		transmitted.",Bytes,COUNTER,BYTES,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,capacity,Total storage capacity,Storage,GAUGE,BYTES,AVG,NONE
STORAGE,capacity.available,Available storage capacity,Storage,GAUGE,BYTES,AVG,NONE
STORAGE,capacity.reserved,Capacity reserved for snapshots,Storage,GAUGE,BYTES,AVG,NONE
STORAGE,capacity.used,Used storage capacity,Storage,GAUGE,BYTES,AVG,NONE
STORAGE,exec.error,"Number of batch KV requests that failed to execute on this node.

This count excludes transaction restart/abort errors. However, it will include
other errors expected during normal operation, such as ConditionFailedError.
This metric is thus not an indicator of KV health.",Batch KV Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
