priority,asset_type,source_version,target_version,version_gap,source_file,reference_type,url,link_text,context,tag_name
CRITICAL,image,v22.2,v2.1,20.1,v22.2/intellij-idea.html,src,/docs/images/v2.1/intellij/02_postgresql_data_source.png,,Add a PostgreSQL data source. (New (+) > Data Source > PostgreSQL),img
CRITICAL,image,v22.2,v2.1,20.1,v22.2/intellij-idea.html,src,/docs/images/v2.1/intellij/03_general_tab.png,,,img
CRITICAL,image,v22.2,v2.1,20.1,v22.2/intellij-idea.html,src,/docs/images/v2.1/intellij/04_options_tab.png,,"Go to the Options tab, and then select Introspect using JDBC metadata.",img
CRITICAL,image,v22.1,v2.1,20.0,v22.1/intellij-idea.html,src,/docs/images/v2.1/intellij/XX000_error_could_not_decorrelate_subquery.png,,,img
CRITICAL,image,v22.1,v2.1,20.0,v22.1/intellij-idea.html,src,/docs/images/v2.1/intellij/42883_error_pg_function_is_visible.png,,,img
CRITICAL,image,v22.1,v2.1,20.0,v22.1/intellij-idea.html,src,/docs/images/v2.1/intellij/42073_error_column_n_xmin_does_not_exist.png,,,img
CRITICAL,image,v22.1,v2.1,20.0,v22.1/intellij-idea.html,src,/docs/images/v2.1/intellij/01_database_tool_window.png,,Launch the Database tool window. (View > Tool Windows > Database),img
CRITICAL,image,v22.1,v2.1,20.0,v22.1/intellij-idea.html,src,/docs/images/v2.1/intellij/02_postgresql_data_source.png,,Add a PostgreSQL data source. (New (+) > Data Source > PostgreSQL),img
CRITICAL,image,v22.1,v2.1,20.0,v22.1/intellij-idea.html,src,/docs/images/v2.1/intellij/03_general_tab.png,,,img
CRITICAL,image,v22.1,v2.1,20.0,v22.1/intellij-idea.html,src,/docs/images/v2.1/intellij/04_options_tab.png,,"Go to the Options tab, and then select Introspect using JDBC metadata.",img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/intellij-idea.html,src,/docs/images/v2.1/intellij/XX000_error_could_not_decorrelate_subquery.png,,,img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42883_error_pg_function_is_visible.png,,,img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42073_error_column_n_xmin_does_not_exist.png,,,img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/intellij-idea.html,src,/docs/images/v2.1/intellij/01_database_tool_window.png,,Launch the Database tool window. (View > Tool Windows > Database),img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/intellij-idea.html,src,/docs/images/v2.1/intellij/02_postgresql_data_source.png,,Add a PostgreSQL data source. (New (+) > Data Source > PostgreSQL),img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/intellij-idea.html,src,/docs/images/v2.1/intellij/03_general_tab.png,,,img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/intellij-idea.html,src,/docs/images/v2.1/intellij/04_options_tab.png,,"Go to the Options tab, and then select Introspect using JDBC metadata.",img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-01-select-cockroachdb.png,,,img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-02-cockroachdb-connection-settings.png,,,img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-03-ssl-tab.png,,,img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-04-connection-success-dialog.png,,,img
CRITICAL,image,v21.2,v2.1,19.1,v21.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-05-movr.png,,,img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/intellij-idea.html,src,/docs/images/v2.1/intellij/XX000_error_could_not_decorrelate_subquery.png,,,img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/intellij-idea.html,src,/docs/images/v2.1/intellij/42883_error_pg_function_is_visible.png,,,img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/intellij-idea.html,src,/docs/images/v2.1/intellij/42073_error_column_n_xmin_does_not_exist.png,,,img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/intellij-idea.html,src,/docs/images/v2.1/intellij/01_database_tool_window.png,,Launch the Database tool window. (View > Tool Windows > Database),img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/intellij-idea.html,src,/docs/images/v2.1/intellij/02_postgresql_data_source.png,,Add a PostgreSQL data source. (New (+) > Data Source > PostgreSQL),img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/intellij-idea.html,src,/docs/images/v2.1/intellij/03_general_tab.png,,,img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/intellij-idea.html,src,/docs/images/v2.1/intellij/04_options_tab.png,,"Go to the Options tab, and then select Introspect using JDBC metadata.",img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/dbeaver.html,src,/docs/images/v2.1/dbeaver-01-select-cockroachdb.png,,,img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/dbeaver.html,src,/docs/images/v2.1/dbeaver-02-cockroachdb-connection-settings.png,,,img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/dbeaver.html,src,/docs/images/v2.1/dbeaver-03-ssl-tab.png,,,img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/dbeaver.html,src,/docs/images/v2.1/dbeaver-04-connection-success-dialog.png,,,img
CRITICAL,image,v21.1,v2.1,19.0,v21.1/dbeaver.html,src,/docs/images/v2.1/dbeaver-05-movr.png,,,img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/intellij-idea.html,src,/docs/images/v2.1/intellij/XX000_error_could_not_decorrelate_subquery.png,,,img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42883_error_pg_function_is_visible.png,,,img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42073_error_column_n_xmin_does_not_exist.png,,,img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/intellij-idea.html,src,/docs/images/v2.1/intellij/01_database_tool_window.png,,Launch the Database tool window. (View > Tool Windows > Database),img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/intellij-idea.html,src,/docs/images/v2.1/intellij/02_postgresql_data_source.png,,Add a PostgreSQL data source. (New (+) > Data Source > PostgreSQL),img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/intellij-idea.html,src,/docs/images/v2.1/intellij/03_general_tab.png,,,img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/intellij-idea.html,src,/docs/images/v2.1/intellij/04_options_tab.png,,"Go to the Options tab, and then select Introspect using JDBC metadata.",img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-01-select-cockroachdb.png,,,img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-02-cockroachdb-connection-settings.png,,,img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-03-ssl-tab.png,,,img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-04-connection-success-dialog.png,,,img
CRITICAL,image,v20.2,v2.1,18.1,v20.2/dbeaver.html,src,/docs/images/v2.1/dbeaver-05-movr.png,,,img
CRITICAL,image,v25.4,v20.2,5.2,v25.4/query-spatial-data.html,src,/docs/images/v20.2/geospatial/1999-oklahoma-tornado-outbreak-map.png,,,img
CRITICAL,image,v25.3,v20.2,5.1,v25.3/query-spatial-data.html,src,/docs/images/v20.2/geospatial/1999-oklahoma-tornado-outbreak-map.png,,,img
CRITICAL,image,v25.2,v20.2,5.0,v25.2/query-spatial-data.html,src,/docs/images/v20.2/geospatial/1999-oklahoma-tornado-outbreak-map.png,,,img
CRITICAL,image,v25.1,v20.2,4.9,v25.1/query-spatial-data.html,src,/docs/images/v20.2/geospatial/1999-oklahoma-tornado-outbreak-map.png,,,img
CRITICAL,image,v25.4,v21.2,4.2,v25.4/architecture/storage-layer.html,src,/docs/images/v21.2/sst.png,,,img
CRITICAL,image,v25.4,v21.2,4.2,v25.4/architecture/storage-layer.html,src,/docs/images/v21.2/lsm-with-ssts.png,,,img
CRITICAL,image,v25.4,v21.2,4.2,v25.4/architecture/storage-layer.html,src,/docs/images/v21.2/memtable-wal-sst.png,,,img
CRITICAL,image,v24.3,v20.2,4.1,v24.3/query-spatial-data.html,src,/docs/images/v20.2/geospatial/1999-oklahoma-tornado-outbreak-map.png,,,img
CRITICAL,image,v25.3,v21.2,4.1,v25.3/architecture/storage-layer.html,src,/docs/images/v21.2/sst.png,,,img
CRITICAL,image,v25.3,v21.2,4.1,v25.3/architecture/storage-layer.html,src,/docs/images/v21.2/lsm-with-ssts.png,,,img
CRITICAL,image,v25.3,v21.2,4.1,v25.3/architecture/storage-layer.html,src,/docs/images/v21.2/memtable-wal-sst.png,,,img
CRITICAL,image,v24.2,v20.2,4.0,v24.2/query-spatial-data.html,src,/docs/images/v20.2/geospatial/1999-oklahoma-tornado-outbreak-map.png,,,img
CRITICAL,image,v25.2,v21.2,4.0,v25.2/architecture/storage-layer.html,src,/docs/images/v21.2/sst.png,,,img
CRITICAL,image,v25.2,v21.2,4.0,v25.2/architecture/storage-layer.html,src,/docs/images/v21.2/lsm-with-ssts.png,,,img
CRITICAL,image,v25.2,v21.2,4.0,v25.2/architecture/storage-layer.html,src,/docs/images/v21.2/memtable-wal-sst.png,,,img
CRITICAL,image,v24.1,v20.2,3.9,v24.1/query-spatial-data.html,src,/docs/images/v20.2/geospatial/1999-oklahoma-tornado-outbreak-map.png,,,img
CRITICAL,image,v25.1,v21.2,3.9,v25.1/architecture/storage-layer.html,src,/docs/images/v21.2/sst.png,,,img
CRITICAL,image,v25.1,v21.2,3.9,v25.1/architecture/storage-layer.html,src,/docs/images/v21.2/lsm-with-ssts.png,,,img
CRITICAL,image,v25.1,v21.2,3.9,v25.1/architecture/storage-layer.html,src,/docs/images/v21.2/memtable-wal-sst.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_queue_failures.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_queue_time.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_replicagc_queue.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_replication_queue.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_split_queue.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_merge_queue.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_raftlog_queue.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_raftsnapshot_queue.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_consistencychecker_queue.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_tsmaintenance_queue.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_batches.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_rpcs.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_rpc_errors.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_kv_transactions.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_kv_transactions_99.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_kv_transactions_90.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_node_heartbeat_99.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_node_heartbeat_90.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_raft.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_distsender.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_lease.png,,,img
CRITICAL,image,v25.4,v22.1,3.3,v25.4/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_latch.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_queue_failures.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_queue_time.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_replicagc_queue.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_replication_queue.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_split_queue.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_merge_queue.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_raftlog_queue.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_raftsnapshot_queue.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_consistencychecker_queue.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_tsmaintenance_queue.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_batches.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_rpcs.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_rpc_errors.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_kv_transactions.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_kv_transactions_99.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_kv_transactions_90.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_node_heartbeat_99.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_node_heartbeat_90.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_raft.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_distsender.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_lease.png,,,img
CRITICAL,image,v25.3,v22.1,3.2,v25.3/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_latch.png,,,img
CRITICAL,image,v25.4,v22.2,3.2,v25.4/hasura-getting-started.html,src,/docs/images/v22.2/hasura-ca-cert.png,,,img
CRITICAL,image,v25.4,v22.2,3.2,v25.4/hasura-getting-started.html,src,/docs/images/v22.2/hasura-data-source.png,,"Select Environment Variable, then enter CRDB_URL in the Environment Variable input box.",img
CRITICAL,image,v25.4,v22.2,3.2,v25.4/hasura-getting-started.html,src,/docs/images/v22.2/hasura-project-config.png,,,img
CRITICAL,image,v25.4,v22.2,3.2,v25.4/hasura-getting-started.html,src,/docs/images/v22.2/hasura-execute-query.png,,,img
CRITICAL,image,v24.3,v21.2,3.1,v24.3/architecture/storage-layer.html,src,/docs/images/v21.2/sst.png,,,img
CRITICAL,image,v24.3,v21.2,3.1,v24.3/architecture/storage-layer.html,src,/docs/images/v21.2/lsm-with-ssts.png,,,img
CRITICAL,image,v24.3,v21.2,3.1,v24.3/architecture/storage-layer.html,src,/docs/images/v21.2/memtable-wal-sst.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_queue_failures.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_queue_time.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_replicagc_queue.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_replication_queue.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_split_queue.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_merge_queue.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_raftlog_queue.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_raftsnapshot_queue.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_consistencychecker_queue.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_tsmaintenance_queue.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_batches.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_rpcs.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_rpc_errors.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_kv_transactions.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_kv_transactions_99.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_kv_transactions_90.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_node_heartbeat_99.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-distributed-dashboard.html,src,/docs/images/v22.1/ui_node_heartbeat_90.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_raft.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_distsender.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_lease.png,,,img
CRITICAL,image,v25.2,v22.1,3.1,v25.2/ui-slow-requests-dashboard.html,src,/docs/images/v22.1/ui_slow_latch.png,,,img
CRITICAL,image,v25.3,v22.2,3.1,v25.3/hasura-getting-started.html,src,/docs/images/v22.2/hasura-ca-cert.png,,,img
CRITICAL,image,v25.3,v22.2,3.1,v25.3/hasura-getting-started.html,src,/docs/images/v22.2/hasura-data-source.png,,"Select Environment Variable, then enter CRDB_URL in the Environment Variable input box.",img
CRITICAL,image,v25.3,v22.2,3.1,v25.3/hasura-getting-started.html,src,/docs/images/v22.2/hasura-project-config.png,,,img
CRITICAL,image,v25.3,v22.2,3.1,v25.3/hasura-getting-started.html,src,/docs/images/v22.2/hasura-execute-query.png,,,img
CRITICAL,image,v23.2,v20.2,3.0,v23.2/query-spatial-data.html,src,/docs/images/v20.2/geospatial/1999-oklahoma-tornado-outbreak-map.png,,,img
CRITICAL,image,v24.2,v21.2,3.0,v24.2/architecture/storage-layer.html,src,/docs/images/v21.2/sst.png,,,img
CRITICAL,image,v24.2,v21.2,3.0,v24.2/architecture/storage-layer.html,src,/docs/images/v21.2/lsm-with-ssts.png,,,img
CRITICAL,image,v24.2,v21.2,3.0,v24.2/architecture/storage-layer.html,src,/docs/images/v21.2/memtable-wal-sst.png,,,img
CRITICAL,image,v25.1,v22.1,3.0,v25.1/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_queue_failures.png,,,img
CRITICAL,image,v25.1,v22.1,3.0,v25.1/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_queue_time.png,,,img
CRITICAL,image,v25.1,v22.1,3.0,v25.1/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_replicagc_queue.png,,,img
CRITICAL,image,v25.1,v22.1,3.0,v25.1/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_replication_queue.png,,,img
CRITICAL,image,v25.1,v22.1,3.0,v25.1/ui-queues-dashboard.html,src,/docs/images/v22.1/ui_split_queue.png,,,img
